ID_Piece,NumeroLot,DateProduction,Machine,Materiau,Poste,Equipe,Fournisseur,Diametre_mm,Longueur_mm,Epaisseur_mm,Masse_g,Rugosite_um,Circularite_um,Temperature_C,Vibration_RMS_mm_s,Vibration_Pic_mm_s,NiveauAcoustique_dB,FrequenceDominante_Hz,AmplitudeUltrason_dB,TempsVolUltrason_us,Durete_HV,Conductivite_MS_m,Humidite_pct,Defectueuse
AERO-000023,LOT-2507-0089,13-juil-2025 04:20:00,M03,AL7075,TRAITEMENT,MATIN,FOUR_A,NaN,125.372,8.026,301.998,2.522,17.775,36.441,1.472,5.107,71.144,499.01,75.855,14.3011,191.385,21.542,45.53,1
AERO-000024,LOT-2601-0002,23-janv-2026 17:45:00,M04,INCONEL718,USINAGE,MATIN,FOUR_B,50.066,125.315,7.898,321.176,NaN,18.506,32.526,1.376,5.501,64.747,456.21,77.893,14.6022,263.473,17.771,46.29,0
AERO-000025,LOT-2512-0158,12-déc-2025 12:01:00,M02,TI6AL4V,CONTROLE,SOIR,FOUR_B,49.888,124.736,7.748,315.859,1.048,20.049,33.564,0.905,4.76,70.793,408.61,74.582,14.3651,245.752,20.427,39.94,0
AERO-000026,LOT-2506-0057,05-juin-2025 07:37:00,M03,TI6AL4V,CONTROLE,SOIR,FOUR_B,49.881,125.025,8.066,316.907,2.35,22.932,33.932,1.528,5.589,69.398,410.32,75.939,14.6293,236.474,21.778,47.71,1
AERO-000027,LOT-2507-0055,08-juil-2025 08:55:00,M02,AL7075,TRAITEMENT,NUIT,FOUR_B,NaN,124.954,7.991,298.457,1.262,15.481,28.873,1.384,4.974,61.533,444.48,83.485,14.4379,207.316,19.055,47.4,0
AERO-000028,LOT-2504-0012,06-avr-2025 09:55:00,M04,INCONEL718,TRAITEMENT,SOIR,FOUR_C,49.845,125.609,8.045,321.117,1.502,19.704,30.734,1.489,5.033,71.766,416.9,68.777,14.9124,254.891,NaN,44.33,0
AERO-000029,LOT-2601-0110,12-janv-2026 11:13:00,M02,TI6AL4V,USINAGE,NUIT,FOUR_B,49.942,124.837,7.974,312.123,1.235,30.181,31.798,1.158,4.863,69.272,430.1,76.087,14.5985,224.762,17.47,41.33,0
AERO-000030,LOT-2507-0079,14-juil-2025 16:24:00,M02,AL7075,USINAGE,NUIT,FOUR_B,49.943,NaN,8.09,303.619,0.951,14.746,32.024,1.853,7.037,65.958,458.34,82.34,14.1961,196.82,19.108,49.04,0
AERO-000031,LOT-2503-0039,05-mars-2025 21:43:00,M06,INCONEL718,TRAITEMENT,MATIN,FOUR_A,49.989,124.843,8.088,324.395,1.336,28.02,35.362,1.429,5.344,65.036,408.75,74.677,14.6705,270.603,20.259,35.54,0
AERO-000032,LOT-2504-0209,20-avr-2025 07:02:00,M01,AL7075,USINAGE,MATIN,FOUR_A,49.904,125.387,7.979,306.542,1.226,20.262,34.371,1.58,5.459,68.59,475.96,79.022,14.2515,204.157,20.132,41.42,0
AERO-000033,LOT-2507-0238,20-juil-2025 01:21:00,M04,INCONEL718,USINAGE,MATIN,FOUR_D,49.833,124.784,8.081,324.341,0.857,23.445,32.552,1.195,5.433,65.847,355.7,77.594,14.51,264.392,20.426,54.54,0
AERO-000034,LOT-2510-0086,12-oct-2025 23:11:00,M04,AL7075,USINAGE,NUIT,FOUR_B,50.038,125.292,7.976,304.88,1.136,13.887,35.575,0.951,4.724,71.439,434.41,81.129,14.2973,201.877,18.907,34.01,0
AERO-000035,LOT-2504-0090,04-avr-2025 06:56:00,M01,TI6AL4V,TRAITEMENT,NUIT,FOUR_B,50.051,124.523,8.017,310.847,1.317,13.325,31.504,1.683,5.849,69.176,410.83,74.881,14.6365,223.709,17.945,40.31,0
AERO-000036,LOT-2512-0123,03-déc-2025 01:29:00,M04,AL7075,TRAITEMENT,MATIN,FOUR_C,50.217,124.473,7.799,303.519,1.076,16.984,30.843,1.611,5.366,70.598,355.84,86.246,14.6035,199.615,22.999,49.65,0
AERO-000037,LOT-2505-0119,20-mai-2025 17:46:00,M04,AL7075,USINAGE,MATIN,FOUR_C,49.888,NaN,8.064,303.197,1.181,22.153,36.185,1.19,4.784,63.966,391.48,83.847,14.5015,211.058,20.423,41.39,0
AERO-000038,LOT-2510-0096,26-oct-2025 18:38:00,M04,AL7075,CONTROLE,MATIN,FOUR_A,49.824,124.911,8.004,303.264,1.365,22.375,32.045,1.104,4.433,66.752,401.61,84.057,14.3151,206.332,19.238,40.29,0
AERO-000039,LOT-2502-0051,15-févr-2025 00:45:00,M03,TI6AL4V,CONTROLE,NUIT,FOUR_D,50.164,124.915,8.129,309.919,1.256,16.071,31.274,1.393,4.937,68.939,436.81,78.36,14.3152,232.085,19.723,39.38,0
AERO-000040,LOT-2506-0056,26-juin-2025 15:13:00,M05,AL7075,CONTROLE,SOIR,FOUR_A,49.715,125.312,7.985,299.248,1.491,11.326,35.759,1.713,5.781,72.788,462.98,75.725,14.4905,194.095,18.535,43.51,0
AERO-000041,LOT-2511-0059,25-nov-2025 06:57:00,M06,AL7075,USINAGE,SOIR,FOUR_D,50.121,125.16,7.952,303.31,1.125,16.277,34.646,2.25,5.92,72.013,403.29,83.527,14.8445,195.766,20.479,45.27,0
AERO-000042,LOT-2502-0096,16-févr-2025 02:23:00,M01,INCONEL718,USINAGE,MATIN,FOUR_B,50.158,124.546,8.067,326.243,0.942,15.232,35.546,1.448,5.008,69.299,329.95,74.109,14.6391,263.759,17.415,42.87,0
AERO-000043,LOT-2601-0099,30-janv-2026 09:31:00,M02,INCONEL718,CONTROLE,SOIR,FOUR_B,50.021,125.022,7.994,324.705,1.082,15.864,36.013,1.358,5.427,66.461,423.86,75.055,14.5072,241.86,18.554,51.63,0
AERO-000044,LOT-2508-0003,22-août-2025 01:40:00,M04,INCONEL718,USINAGE,SOIR,FOUR_C,50.049,125.654,8.071,318.397,1.188,17.412,29.001,1.371,4.389,68.253,428.83,78.063,14.4632,263.905,17.327,32.9,0
AERO-000045,LOT-2502-0169,02-févr-2025 02:50:00,M03,AL7075,USINAGE,NUIT,FOUR_C,50.021,124.896,8.017,298.205,0.824,23.496,27.527,1.668,4.783,67.054,443.12,83.349,14.1874,216.358,19.312,42.59,0
AERO-000046,LOT-2507-0150,21-juil-2025 08:26:00,M05,TI6AL4V,CONTROLE,NUIT,FOUR_C,49.824,125.107,8.064,316.194,0.785,11.779,36.5,1.489,5.835,70.213,350.09,77.209,14.5549,235.345,17.129,44.1,0
AERO-000047,LOT-2601-0166,22-janv-2026 01:27:00,M04,AL7075,USINAGE,MATIN,FOUR_A,50.154,125.545,8.032,304.63,1.304,16.35,33.007,1.644,5.524,70.427,407.46,88.51,14.3526,198.712,17.861,43.87,0
AERO-000048,LOT-2602-0080,07-févr-2026 14:56:00,M03,TI6AL4V,TRAITEMENT,SOIR,FOUR_A,49.837,125.193,7.992,NaN,1.111,20.284,33.112,1.282,5.034,71.653,432.51,76.296,14.6261,234.449,19.384,50.43,0
AERO-000049,LOT-2506-0045,11-juin-2025 13:07:00,M04,AL7075,CONTROLE,MATIN,FOUR_C,50.101,125.061,8.052,299.294,1.342,19.871,35.293,0.908,NaN,68.786,440.15,80.832,14.298,184.127,15.882,50.71,0
AERO-000050,LOT-2505-0075,30-mai-2025 03:34:00,M05,TI6AL4V,CONTROLE,MATIN,FOUR_A,50.06,124.705,7.981,316.05,0.745,13.719,35.824,1.717,5.274,67.108,400.7,77.893,14.1085,242.557,18.222,43.88,0
AERO-000051,LOT-2508-0069,24-août-2025 02:43:00,M05,TI6AL4V,USINAGE,MATIN,FOUR_B,50.492,124.794,7.949,312.039,1.032,17.074,34.281,1.345,4.746,70.395,395.22,76.737,14.3272,228.547,17.757,34.93,0
AERO-000052,LOT-2507-0181,31-juil-2025 03:49:00,M03,AL7075,USINAGE,MATIN,FOUR_B,49.758,125.204,7.953,295.898,1.415,17.996,28.421,1.065,4.578,65.569,387.04,77.64,14.0787,195.873,19.825,43.36,0
AERO-000053,LOT-2602-0102,09-févr-2026 12:46:00,M04,AL7075,TRAITEMENT,SOIR,FOUR_B,50.258,124.487,8.133,301.936,1.205,16.233,33.174,1.49,4.737,67.691,382.84,80.115,14.6277,209.719,20.268,40,0
AERO-000054,LOT-2502-0085,15-févr-2025 09:10:00,M02,TI6AL4V,CONTROLE,SOIR,FOUR_A,50.014,125.53,7.895,310.686,0.857,20.628,32.283,1.368,5.074,70.475,422.86,74.127,14.6408,237.283,19.633,48.12,0
AERO-000055,LOT-2512-0133,31-déc-2025 20:24:00,M02,AL7075,CONTROLE,SOIR,FOUR_C,50.041,125.053,7.939,307.933,1.113,18.448,32.111,1.323,5.308,71.349,436.05,77.968,14.7457,194.963,19.968,35.83,0
AERO-000056,LOT-2502-0140,07-févr-2025 21:54:00,M04,INCONEL718,TRAITEMENT,SOIR,FOUR_B,49.929,124.909,8.038,327.583,0.889,21.536,29.196,1.368,6.017,71.493,405.62,66.382,14.5798,253.678,21.278,49.45,0
AERO-000057,LOT-2510-0168,13-oct-2025 19:10:00,M01,AL7075,USINAGE,SOIR,FOUR_B,49.839,124.801,8.088,307.902,1.266,17.038,26.918,1.296,4.456,69.387,419.75,82.926,14.372,209.306,19.603,39.97,0
AERO-000058,LOT-2507-0191,11-juil-2025 10:36:00,M06,INCONEL718,USINAGE,SOIR,FOUR_B,49.96,124.251,7.998,320.378,0.964,16.104,30.319,2.051,6.056,67.883,382.61,73.754,14.5118,244.744,20.62,31.89,0
AERO-000059,LOT-2507-0182,10-juil-2025 15:30:00,M06,AL7075,USINAGE,MATIN,FOUR_B,50.351,124.565,8.104,303.117,1.74,14.786,35.927,1.309,5.174,72.405,418.91,73.353,14.2441,187.613,21.352,36.12,0
AERO-000060,LOT-2502-0213,10-févr-2025 13:25:00,M03,AL7075,USINAGE,MATIN,FOUR_C,49.913,124.814,8.009,302.765,1.087,25.925,31.725,1.478,5.653,62.603,326.81,77.448,14.6033,212.158,19.451,58.85,0
AERO-000061,LOT-2508-0089,11-août-2025 17:51:00,M05,AL7075,USINAGE,SOIR,FOUR_B,49.984,124.659,8.129,305.714,0.716,16.143,33.884,1.859,6.132,69.452,349.78,81.012,14.7311,209.978,20.466,39.67,0
AERO-000062,LOT-2504-0228,19-avr-2025 09:27:00,M02,TI6AL4V,USINAGE,SOIR,FOUR_A,50.132,124.881,7.833,308.419,1.045,16.283,31.856,1.348,5.225,80.283,211.12,61.11,15.6544,238.146,19.974,59.46,1
AERO-000063,LOT-2503-0135,25-mars-2025 01:18:00,M03,AL7075,USINAGE,MATIN,FOUR_A,49.912,124.974,8.079,302.65,1.199,18.72,31.467,1.1,4.58,66.569,429.32,82.523,14.5459,205.214,18.724,46.31,0
AERO-000064,LOT-2601-0142,28-janv-2026 03:31:00,M02,AL7075,CONTROLE,MATIN,FOUR_D,50.087,125.34,8.025,301.29,0.895,23.328,33.276,0.811,3.53,63.304,452.89,84.2,14.6348,206.31,21.683,45.83,0
AERO-000065,LOT-2502-0096,04-févr-2025 17:45:00,M03,TI6AL4V,CONTROLE,NUIT,FOUR_A,50.061,124.678,7.971,316.025,0.906,21.173,32.616,1.646,5.106,68.536,390.07,78.909,14.5918,233.569,18.814,34.61,0
AERO-000066,LOT-2501-0176,14-janv-2025 21:24:00,M04,AL7075,USINAGE,MATIN,FOUR_D,49.889,125.427,7.837,301.308,1.279,18.345,31.276,1.067,5.059,67.789,388.93,80.105,14.9617,211.276,18.704,21.79,0
AERO-000067,LOT-2508-0021,25-août-2025 03:47:00,M03,AL7075,TRAITEMENT,MATIN,FOUR_B,49.768,124.974,7.931,303.961,1.406,18.001,33.698,1.282,5.241,64.755,438.87,82.712,14.061,189.005,19.116,46.68,0
AERO-000068,LOT-2512-0013,22-déc-2025 11:12:00,M02,AL7075,USINAGE,SOIR,FOUR_D,50.196,125.53,8.077,305.582,1.07,20.438,31.785,1.335,5.927,68.104,412.35,88.616,14.4312,214.914,19.608,49.16,0
AERO-000069,LOT-2506-0056,04-juin-2025 23:15:00,M05,AL7075,CONTROLE,NUIT,FOUR_A,50.132,124.825,7.999,307.592,1.699,20.07,37.423,2.136,6.005,66.126,395.87,78.296,14.637,213.537,20.022,42.47,1
AERO-000070,LOT-2501-0203,02-janv-2025 15:02:00,M04,INCONEL718,TRAITEMENT,SOIR,FOUR_C,50.156,125.147,7.798,320.917,1.158,19.836,33.663,1.104,4.613,71.301,NaN,70.135,14.7949,266.446,19.843,38.88,0
AERO-000071,LOT-2501-0168,28-janv-2025 02:55:00,M02,TI6AL4V,CONTROLE,SOIR,FOUR_B,50.229,124.804,8.041,303.725,1.829,20.344,33.277,1.643,6.214,69.042,454.97,64.522,14.3849,185.568,19.765,38.04,1
AERO-000072,LOT-2508-0167,26-août-2025 02:11:00,M04,AL7075,USINAGE,SOIR,FOUR_B,50.036,124.966,8.039,299.664,1.167,19.293,32.78,1.55,5.152,69.462,373.53,83.949,14.5313,192.738,19.354,58.45,0
AERO-001269,LOT-2510-0121,10-oct-2025 06:07:00,M05,INCONEL718,CONTROLE,MATIN,FOUR_A,50.014,125.27,7.958,332.257,1.893,11.254,36.651,1.696,5.263,64.572,402.96,58.155,14.6858,229.206,19.263,36.44,1
AERO-000074,LOT-2601-0081,31-janv-2026 11:21:00,M06,TI6AL4V,USINAGE,MATIN,FOUR_C,49.962,124.905,7.93,312.594,0.94,18.989,34.494,1.832,5.616,71.478,403.71,76.559,14.8776,223.019,18.81,29.65,0
AERO-000075,LOT-2505-0208,20-mai-2025 09:35:00,M02,INCONEL718,CONTROLE,MATIN,FOUR_A,50.127,124.088,7.839,317.89,1.078,21.022,38.633,1.16,5.062,68.791,363.95,70.429,14.4828,260.191,18.366,42.09,0
AERO-000076,LOT-2504-0062,11-avr-2025 21:19:00,M03,AL7075,CONTROLE,MATIN,FOUR_A,49.972,125.178,8.022,304.468,1.078,19.451,36.248,1.34,5.039,66.334,392.37,76.851,14.4997,209.56,19.368,47.38,0
AERO-000077,LOT-2503-0100,21-mars-2025 11:00:00,M02,AL7075,CONTROLE,SOIR,FOUR_B,49.839,124.999,8.099,302.623,0.979,17.812,31.957,1.639,5.86,82.941,450.83,65.67,15.2514,209.839,18.863,46.55,1
AERO-000078,LOT-2503-0069,31-mars-2025 10:04:00,M06,AL7075,USINAGE,NUIT,FOUR_B,50.23,124.847,7.963,301.424,1.188,13.77,34.548,1.737,4.987,69.904,369.28,83.795,14.4822,203.818,21.858,50.29,0
AERO-000079,LOT-2505-0040,12-mai-2025 09:02:00,M04,AL7075,USINAGE,MATIN,FOUR_D,49.886,124.746,7.882,299.42,1.248,14.721,32.12,1.734,5.671,69.789,481.37,80.885,14.6533,200.508,16.355,37.18,0
AERO-000080,LOT-2503-0191,01-mars-2025 07:45:00,M06,TI6AL4V,USINAGE,MATIN,FOUR_B,50.268,125.049,7.863,315.754,0.803,25.136,32.363,1.897,6.194,69.198,456.94,78.215,14.3986,238.932,20.65,21.48,0
AERO-000081,LOT-2506-0113,17-juin-2025 18:33:00,M01,AL7075,USINAGE,SOIR,FOUR_A,49.86,125.673,8.013,302.638,1.328,17.489,33.806,1.396,5.133,66.423,462.8,80.393,14.4892,201.772,21.559,51.02,0
AERO-000082,LOT-2507-0089,16-juil-2025 20:19:00,M04,INCONEL718,CONTROLE,MATIN,FOUR_B,50.136,125.123,8.139,325.059,1.081,18.941,47.796,3.346,10.34,64.992,385.45,75.415,14.3286,255.813,18.996,33.18,1
AERO-000083,LOT-2508-0013,07-août-2025 15:10:00,M06,AL7075,TRAITEMENT,MATIN,FOUR_A,50.071,125.432,8.044,305.243,1.438,22.134,49.52,3.926,8.979,68.256,455.99,77.246,14.4642,205.246,18.466,42.45,1
AERO-000084,LOT-2601-0198,23-janv-2026 05:52:00,M06,AL7075,USINAGE,SOIR,FOUR_B,50.086,124.832,7.963,303.977,0.906,16.79,35,2.119,6.471,71.015,468.27,78.78,14.3488,202.278,16.999,NaN,0
AERO-000085,LOT-2507-0137,24-juil-2025 01:37:00,M03,INCONEL718,CONTROLE,NUIT,FOUR_A,50.246,125.604,8.017,324.276,1.47,17.575,32.581,1.438,4.697,64.895,424.51,75.307,14.6852,263.571,19.336,46.34,0
AERO-002322,LOT-2503-0099,29-mars-2025 00:03:00,M04,AL7075,CONTROLE,MATIN,FOUR_C,49.72,125.163,7.939,298.515,1.321,22.67,28.866,0.942,4.741,63.654,456.65,74.217,NaN,190.572,19.027,51.51,0
AERO-000087,LOT-2511-0237,22-nov-2025 03:51:00,M04,AL7075,CONTROLE,SOIR,FOUR_C,50.124,124.905,7.901,302.948,1.279,13.788,33.741,1.094,4.17,68.418,439.57,79.816,14.3649,211.519,18.783,47,0
AERO-000088,LOT-2502-0093,18-févr-2025 04:12:00,M03,INCONEL718,USINAGE,MATIN,FOUR_B,50.077,124.81,7.981,320.403,1.129,18.245,31.169,1.317,4.779,75.583,476.51,55.431,15.3659,241.779,18.509,41.97,1
AERO-000089,LOT-2602-0172,15-févr-2026 11:48:00,M05,AL7075,USINAGE,SOIR,FOUR_B,49.695,125.527,7.989,308.734,1.475,17.741,38.483,1.9,4.805,72.272,452.89,68.841,14.6546,170.467,19.921,52.65,1
AERO-000090,LOT-2505-0021,30-mai-2025 02:32:00,M04,TI6AL4V,TRAITEMENT,SOIR,FOUR_B,49.924,124.98,8.041,314.238,1.011,20.407,35.271,1.493,4.921,69.751,369.35,81.57,14.3595,243.241,18.984,40.43,0
AERO-000091,LOT-2509-0214,23-sept-2025 03:55:00,M06,INCONEL718,CONTROLE,MATIN,FOUR_A,50.163,125.626,8.057,323.246,1.076,27.869,34.557,NaN,5.967,65.598,401.44,78.257,14.7076,247.822,19.336,39.79,0
AERO-000092,LOT-2504-0038,08-avr-2025 11:47:00,M03,TI6AL4V,USINAGE,MATIN,FOUR_B,50.109,124.822,8.018,315.419,0.85,11.105,33.172,1.594,4.786,68.169,404.92,78.039,14.3311,238.324,20.918,40.53,0
AERO-000093,LOT-2511-0211,12-nov-2025 22:23:00,M04,AL7075,CONTROLE,MATIN,FOUR_D,50.2,123.985,8.145,304.681,0.964,46.109,31.815,1.346,4.488,69.649,382.32,84.831,14.7218,202.746,19.47,59.08,1
AERO-000094,LOT-2504-0094,22-avr-2025 02:57:00,M03,INCONEL718,USINAGE,SOIR,FOUR_A,49.712,126.6,8.062,316.827,1.007,31.938,30.067,1.152,4.559,68.555,398.72,69.293,14.527,249.865,18.313,44.88,1
AERO-000095,LOT-2504-0214,16-avr-2025 19:49:00,M02,INCONEL718,USINAGE,SOIR,FOUR_C,49.996,125.073,8.009,329.117,1.927,21.615,34.357,1.149,4.814,65.937,401.23,63.364,14.6798,226.16,21.626,29.59,1
AERO-000096,LOT-2510-0046,09-oct-2025 23:47:00,M03,TI6AL4V,USINAGE,MATIN,FOUR_A,49.848,124.515,8.124,312.465,1.109,17.284,33.899,1.417,5.566,66.91,443.6,72.192,14.7186,227.683,17.792,62.93,0
AERO-000097,LOT-2510-0014,30-oct-2025 04:55:00,M06,TI6AL4V,CONTROLE,SOIR,FOUR_A,50.062,125.339,NaN,309.818,1.206,17.984,33.736,1.325,5.691,67.719,423.23,78.863,14.6546,245.452,17.346,48.59,0
AERO-000098,LOT-2601-0042,24-janv-2026 02:10:00,M03,INCONEL718,CONTROLE,MATIN,FOUR_C,49.776,125.494,7.95,322.441,1.358,15.549,36.248,1.765,5.651,NaN,381.04,76.381,14.6974,252.206,17.544,49.64,0
AERO-000099,LOT-2510-0067,03-oct-2025 01:21:00,M01,TI6AL4V,USINAGE,NUIT,FOUR_B,50.11,125.27,8.035,311.627,1.146,15.751,44.992,2.675,6.862,68.649,419.13,74.622,14.6471,233.947,NaN,42.45,1
AERO-000100,LOT-2502-0138,04-févr-2025 21:42:00,M01,AL7075,USINAGE,MATIN,FOUR_D,49.89,124.969,8.08,302.804,1.291,20.187,30.202,1.17,5,70.171,484.3,82.806,14.2135,194.236,15.215,47.37,0
AERO-000101,LOT-2508-0062,21-août-2025 17:24:00,M03,AL7075,USINAGE,SOIR,FOUR_C,50.073,125.142,7.842,302.168,1.159,10.222,31.692,0.883,4.786,79.929,270.55,56.45,14.7455,204.251,16.217,46.25,1
AERO-000102,LOT-2511-0048,15-nov-2025 12:45:00,M05,INCONEL718,CONTROLE,NUIT,FOUR_B,50.09,124.758,8.081,328.445,1.059,13.984,36.036,1.961,5.199,70.398,401.79,77.265,14.7652,255.189,18.633,46.11,0
AERO-000103,LOT-2502-0197,03-févr-2025 19:37:00,M03,AL7075,CONTROLE,SOIR,FOUR_C,49.754,124.868,7.943,297.874,1.18,17.853,33.426,1.466,5.86,70.861,432.13,78.74,14.602,190.328,18.142,57.33,0
AERO-000104,LOT-2506-0094,25-juin-2025 21:24:00,M05,TI6AL4V,TRAITEMENT,SOIR,FOUR_A,49.712,124.965,7.902,317.754,1.287,23.11,39.079,1.421,5.041,67.917,470.64,74.635,14.505,233.442,18.749,48.52,0
AERO-000105,LOT-2512-0030,22-déc-2025 08:45:00,M05,AL7075,USINAGE,MATIN,FOUR_D,49.861,124.433,8.004,315.925,1.555,14.662,35.679,1.879,5.748,71.119,460.75,70.95,14.6283,188.798,17.841,41.73,1
AERO-000106,LOT-2504-0217,08-avr-2025 00:18:00,M05,AL7075,USINAGE,SOIR,FOUR_B,49.96,125.283,NaN,302.931,1.085,17.835,31.543,1.481,5.321,67.058,443.63,78.185,14.4615,206.822,18.183,54.36,0
AERO-000107,LOT-2506-0086,05-juin-2025 08:42:00,M02,INCONEL718,USINAGE,SOIR,FOUR_B,49.746,125.145,7.92,313.599,0.579,17.539,31.536,1.461,5.301,67.136,439.95,64.804,14.587,252.254,16.938,50.46,0
