ID,Diametre_mm,Masse_g,Rugosite_um,Temperature_C,Vibration_mm_s,Couleur_indice,Ultrason_dB,Durete_HV,Defectueuse,TypeDefaut
P0074,50.31,123.042,1.393,42.278,2.973,0.5432,79.504,155.947,1,4
P0075,50.927,122.561,2.438,29.769,2.303,0.5407,71.105,217.745,1,1
P0076,50.125,111.927,2.101,50.342,2.195,0.6624,46.726,150.011,1,3
P0077,49.348,122.719,1.411,33.697,1.644,0.6688,49.925,178.217,1,3
P0078,50.04,116.382,1.156,34.44,1.304,0.5759,77.032,195.368,0,0
P0079,49.979,120.292,1.103,36.105,1.908,0.517,77.173,212.123,0,0
P0080,49.922,120.506,3.225,37.118,0.938,0.5265,55.524,182.058,1,2
P0081,50.456,121.314,2.676,34.007,3.794,0.4641,67.026,155.678,1,2
P0082,49.929,121.127,1.13,43.896,3.123,0.6169,65.233,158.845,1,3
P0083,49.996,119.676,2.376,36.52,4.526,0.675,72.818,188.405,1,4
P0084,50.03,121.111,1.194,42.742,3.277,0.545,63.533,162.904,1,4
P0085,49.914,121.1,0.84,33.626,1.685,0.5015,75.216,198.716,0,0
P0086,50.219,119.588,2.529,44.083,1.932,0.6305,63.938,208.376,1,2
P0087,50.053,115.252,1.795,35.306,0.862,0.6128,54.24,210.196,1,1
P0088,49.967,119.152,2.133,32.405,2.849,0.7042,55.886,171.708,1,3
P0089,49.745,116.086,3,48.273,2.533,0.5363,65.746,185.716,1,2
P0090,49.934,118.938,1.299,40.108,1.576,0.4907,73.066,203.4,0,0
P0091,50.235,118.642,1.69,35.341,1.745,0.5413,78.307,218.371,0,0
P0092,50.087,118.753,1.024,37.326,1.099,0.4897,79.199,206.248,0,0
P0093,50.579,117.228,3.277,38.055,1.959,0.6593,53.465,169.3,1,2
P0094,49.632,123.133,0.723,37.31,2.2,0.4962,70.742,204.029,0,0
P0095,49.942,118.297,2.021,45.771,1.717,0.5095,59.531,198.541,1,2
P0096,50.352,126.73,2.094,40.193,2.086,0.6909,57.24,181.98,1,1
P0097,50.022,118.954,2.069,32.719,4.578,0.617,61.285,182.325,1,4
P0098,50.141,119.052,1.363,36.527,3.309,0.4403,58.951,165.324,1,3
P0099,49.629,123.114,1.82,41.458,2.68,0.6441,72.48,231.935,1,1
P0100,49.725,119.627,1.292,35.906,1.384,0.4996,73.708,217.867,0,0
P0101,49.79,119.022,1.077,35.495,1.193,0.5096,76.544,199.374,0,0
P0102,49.814,122.107,3.006,35.336,2.962,0.3955,74.913,201.096,1,2
P0103,50.229,119.055,2.022,52.44,3.942,0.6538,66.284,189.811,1,4
P0104,51,124.585,1.413,33.947,2.999,0.6402,67.576,199.301,1,1
P0105,50.09,124.039,2.458,42.887,4.059,0.6213,69.505,177.57,1,1
P0106,49.559,123.135,2.042,27.824,1.59,0.4724,75.056,191.469,1,1
P0107,49.904,121.63,0.847,36.371,1.735,0.5476,74.172,205.391,0,0
P0108,49.944,124.064,1.245,34.808,1.65,0.5473,66.965,205.828,0,0
P0109,50.606,114.598,NaN,39.214,2.152,0.6211,64.525,180.874,1,1
P0110,50.415,118.213,1.471,49.427,2.6,0.7046,61.774,214.184,1,4
P0111,50.022,118.776,1.613,46.386,4.488,0.6628,65.665,165.198,1,4
P0112,50.004,121.746,1.293,29.864,1.394,0.4447,71.125,217.124,0,0
P0113,49.607,118.974,1.145,36.701,1.45,0.4741,74.334,207.77,0,0
P0114,49.193,124.909,1.637,40.366,2.39,0.5055,64.21,202.827,1,1
P0115,50.188,121.873,1.139,34.589,1.342,0.6001,76.198,206.685,0,0
P0116,50.084,118.377,1.781,37.546,1.849,0.5523,74.134,214.847,0,0
P0117,49.976,120.159,1.1,36.019,2.109,NaN,69.664,217.804,0,0
P0118,50.049,117.193,0.914,34.601,1.387,0.4917,77.928,202.726,0,0
P0119,50.008,117.337,0.917,33.516,1.395,0.5719,78.879,199.566,0,0
P0120,49.141,120.234,1.575,48.306,5.601,0.6897,57.077,183.027,1,4
P0121,50.156,118.575,2.669,42.556,2.807,0.5417,55.734,163.846,1,3
P0122,50.362,122.261,1.904,39.134,2.664,0.6612,50.774,200.965,1,3
P0123,49.992,119.818,3.236,35.245,2.999,0.589,77.093,207.15,1,2
P0124,49.934,118.817,0.775,33.028,2.274,0.5161,81.522,220.902,0,0
P0125,49.684,118.985,2.779,42.24,3.739,0.8013,53.392,163.948,1,2
P0126,50.14,119.623,1.259,33.148,1.333,0.484,74.844,204.809,0,0
P0127,50.275,121.567,2.865,38.222,3.356,0.8087,61.877,194.056,1,2
P0128,49.77,121.325,1.166,37.636,1.687,0.4793,79.751,217.184,0,0
P0129,50.137,121.985,1.486,28.962,1.036,0.5194,NaN,187.257,0,0
P0130,49.853,122.778,1.223,31.756,NaN,0.5276,75.067,213.671,0,0
P0131,49.89,149.092,1.824,32.046,2.384,0.5946,58.587,158.822,1,3
P0132,49.984,121.451,1.526,36.56,1.823,0.4852,80.579,197.547,0,0
P0133,49.978,121.284,1.246,35.809,1.537,0.5113,71.498,209.782,0,0
P0134,49.931,118.295,1.503,34.612,1.755,0.4932,78.24,200.472,0,0
P0135,49.883,120.102,1.401,37.561,3.125,0.5211,45.839,164.316,1,3
P0136,50.159,123.13,0.644,28.711,0.987,0.5587,79.558,215.545,0,0
P0137,50.019,119.138,0.962,34.42,1.497,0.5119,76.8,224.435,0,0
P0138,50.147,118.881,1.29,30.579,1.804,0.5737,78.395,208.652,0,0
P0139,50.868,124.182,2.016,38.503,2.823,0.6934,64.061,185.612,1,1
P0140,50.137,119.438,1.372,31.444,1.634,0.5477,71.141,195.699,0,0
P0141,50.044,119.127,1.274,29.23,1.189,0.5294,70.986,207.497,0,0
P0142,50.062,121.492,1.312,35.884,2.255,0.5577,74.469,211.095,0,0
P0143,49.958,120.733,1.27,32.939,1.33,0.5317,80.017,212.131,0,0
P0144,50.299,119.879,0.964,44.274,4.697,0.48,61.337,180.121,1,4
P0145,49.86,124.208,0.779,33.409,1.038,0.5676,70.874,213.026,0,0
P0146,49.985,116.46,1.358,35.931,1.751,0.4424,78.241,205.228,0,0
P0147,50.1,126.481,2.457,37.765,2.098,0.6425,40.673,188.289,1,3
P0148,49.99,119.775,1.281,31.982,1.837,0.4986,69.909,211.204,0,0
P0149,49.704,119.926,1.159,32.449,1.937,0.4944,83.221,212.596,0,0
P0150,49.966,120.448,1.485,32.272,1.545,0.5684,78.114,195.243,0,0
P0151,50.215,120.568,0.682,30.396,0.97,0.4849,74.413,204.007,0,0
P0152,49.709,120.184,1.401,33.98,1.621,0.4325,80.209,204.746,0,0
P0153,49.809,113.213,1.392,48.391,2.442,0.5755,51.975,184.954,1,3
P0154,50.022,132.468,1.564,40.648,1.626,0.5521,57.228,151.509,1,3
P0155,49.95,117.907,1.194,33.54,1.335,0.5471,70.333,202.045,0,0
P0156,50.354,117.772,1.089,34.664,1.028,0.5434,83.324,207.679,0,0
P0157,50.266,119.065,1.305,37.806,1.82,0.456,72.023,199.266,0,0
P0158,50.073,123.209,1.439,39.916,1.402,0.5125,75.691,206.612,0,0
P0159,50.111,122.264,2.311,51.536,3.497,0.6244,66.871,187.796,1,4
P0160,50.095,119.837,1.424,35.336,2.096,0.6398,38.221,164.898,1,3
P0161,49.991,113.992,1.919,36.597,3.149,0.6339,78.498,177.746,1,4
P0162,50.338,129.95,2.738,47.408,1.638,0.6317,83.583,186.226,1,1
P0163,50.433,118.266,1.549,42.636,2.704,0.5692,67.527,205.853,1,4
P0164,50.039,119.842,1.276,37.212,1.945,0.5348,76.692,206.789,0,0
P0165,50.006,121,0.97,31.472,1.92,0.5068,81.801,211.386,0,0
P0166,50.053,121.899,1.209,35.942,2.533,0.6071,46.961,154.203,1,3
P0167,49.947,121.825,1.581,30.481,1.597,0.5178,72.21,207.529,0,0
P0168,50.398,120.674,1.095,33.253,1.35,0.5139,74.154,203.02,0,0
P0169,49.841,122.867,NaN,36.304,2.935,0.5927,59.266,NaN,1,1
P0170,50.126,118.575,1.712,39.788,1.969,0.4803,74.117,215.564,0,0
P0171,50.562,118.855,1.338,42.104,1.893,0.584,62.297,220.202,1,1
P0172,50.564,119.519,1.881,28.842,1.102,0.5777,45.39,188.311,1,3
P0173,50.402,110.781,2.405,38.616,2.476,0.5497,77.558,174.131,1,2
P0174,49.836,119.294,1.329,34.085,1.326,0.5285,75.777,221.891,0,0
P0175,50.097,119.865,1.198,36.916,1.755,0.5733,78.462,207.259,0,0
P0176,50.316,123.059,2.002,38.21,3.232,0.5099,67.851,157.836,1,2
P0177,49.651,108.975,2.549,30.646,3.263,0.6655,48.557,168.065,1,3
P0178,49.726,120.012,1.455,34.16,1.289,0.5141,77.163,203.983,0,0
P0179,50.037,118.457,1.028,28.372,1.499,0.5322,78.326,213.738,0,0
P0180,49.925,121.99,1.257,31.098,1.629,0.5276,75.355,200.187,0,0
P0181,50.681,123.284,2.752,50.485,2.392,0.7876,44.533,160.525,1,3
P0182,50.339,118.153,1.951,51.467,4.549,0.6588,57.925,196.04,1,4
P0183,49.471,117.39,2.002,41.844,3.825,0.5342,62.365,158.978,1,4
P0184,49.609,114.924,2.239,44.344,2.544,0.6128,44.103,167.389,1,3
P0185,49.8,117.815,2.277,38.496,2.165,0.3389,60.855,181.491,1,2
P0186,49.693,119.974,1.08,36.536,1.837,0.511,76.329,196.233,0,0
P0187,49.869,123.748,1.681,35.538,1.85,0.6833,47.874,191.515,1,3
P0188,49.542,117.166,1.174,49.047,1.955,0.6502,60.141,151.115,1,3
P0189,49.727,119.892,1.024,41.275,1.986,0.5022,73.837,196.624,0,0
P0190,50.181,117.725,1.184,32.672,1.489,0.4689,74.297,209.497,0,0
P0191,49.752,119.417,0.863,31.528,1.484,0.5577,80.63,202.485,0,0
P0192,50.078,118.741,1.315,33.408,1.662,0.5401,77.124,NaN,0,0
P0193,50.35,116.54,1.037,44.964,2.491,0.5621,67.171,179.052,1,1
P0194,49.838,119.974,1.091,33.814,1.323,0.4554,77.5,193.635,0,0
P0195,50.208,117.734,1.55,52.927,4.464,0.6516,48.89,158.98,1,4
P0196,49.791,123.495,2.732,44.06,2.333,0.6213,58.775,NaN,1,3
P0197,50.005,121.137,0.993,NaN,1.224,0.5081,80.21,211.034,0,0
P0198,49.91,117.894,1.476,31.222,1.218,0.4972,74.115,201.692,0,0
P0199,49.931,120.821,1.385,34.372,1.615,0.5325,74.186,203.205,0,0
P0200,50.159,121.666,1.25,32.118,1.237,0.5213,75.534,200.799,0,0
P0201,50.854,111.635,1.164,NaN,2.654,0.5629,53.721,181.673,1,1
P0202,50.734,120.06,1.906,33.754,1.548,1.1628,55.102,187.102,1,1
P0203,49.788,118.825,1.46,35.199,1.67,0.5259,81.866,187.011,0,0
P0204,49.801,117.876,1.168,29.785,1.739,0.5901,64.458,208.54,0,0
P0205,49.61,122.785,2.696,36.795,2.935,0.5036,57.389,196.621,1,2
P0206,49.733,119.667,1.467,46.671,2.654,0.5469,54.954,147.663,1,3
P0207,49.979,120.442,1.573,32.805,2.043,0.4353,78.446,205.195,0,0
P0208,49.738,120.901,3.721,36.711,3.023,0.6681,58.9,157.956,1,2
P0209,50.173,119.739,1.111,37.101,1.664,0.4793,82.127,207.768,0,0
P0210,49.743,118.673,2.375,45.748,3.721,0.5515,67.953,170.04,1,2
P0211,49.887,119.466,1.247,35.685,1.26,0.5214,76.518,210.193,0,0
P0212,50.149,122.65,2.904,51.669,3.927,0.6646,53.309,187.489,1,4
P0213,50.203,122.542,1.218,30.323,1.485,0.4938,76.482,203.85,0,0
P0214,49.618,116.144,1.531,36.889,3.957,0.5141,68.142,189.301,1,4
P0215,50.201,117.051,1.075,32.572,1.985,0.4747,81.139,348.896,0,0
P0216,50.012,119.713,1.367,33.331,0.946,0.5538,75.914,203.365,0,0
P0217,49.69,120.524,1.191,28.563,2.11,0.5203,74.383,211.82,0,0
P0218,49.987,121.297,1.377,45.556,4.886,0.5246,57.053,187.117,1,4
P0219,49.706,126.437,1.439,31.486,1.344,0.5273,74.823,199.323,0,0
P0220,49.769,121.953,1.474,26.602,1.723,0.4888,75.075,202.654,0,0
P0221,50.032,120.007,2.729,31.317,1.737,0.6361,63.396,189.53,1,2
P0222,49.572,126.26,2.052,34.87,3.475,0.573,66.871,175.496,1,1
P0223,50.42,117.343,1.863,35.466,1.74,0.6124,61.74,174.627,1,3
P0224,49.519,121.922,1.95,42.847,4.151,0.6249,61.646,185.715,1,1
P0225,50.281,112.902,2.008,31.153,3.811,0.763,71.078,156.954,1,2
P0226,50.227,119.503,1.239,33.765,1.277,0.5131,77.95,198.476,0,0
P0227,49.272,125.531,1.619,45.353,1.725,0.6637,53.617,196.545,1,1
P0228,49.631,116.978,1.632,52.197,4.86,0.6594,59.706,192.029,1,4
P0229,NaN,119.376,1.221,33.216,1.511,0.5618,76.252,201.711,0,0
P0230,49.997,119.241,1.28,30.896,2.052,0.5215,75.579,204.635,0,0
P0231,50.663,123.093,1.709,43.991,2.669,0.5703,51.642,163.741,1,3
P0232,50.137,119.045,1.467,44.78,2.647,0.6261,81.655,197.134,1,4
P0233,49.777,122.641,1.381,35.334,1.663,0.5072,75.269,192.552,0,0
P0234,50.504,119.349,1.694,31.644,1.563,0.5799,80.056,192.95,0,0
P0235,49.808,119.802,NaN,35.435,2.384,0.5327,53.091,214.95,1,3
P0236,49.914,120.905,1.54,54.167,4.367,0.574,61.477,166.11,1,4
P0237,49.589,118.589,1.982,50.93,4.438,0.5145,78.99,178.788,1,4
P0238,49.878,112.968,3.006,36.01,1.762,0.3691,64.739,184.461,1,2
P0239,50.202,117.635,1.771,37.512,3.715,0.5904,50.263,167.286,1,3
P0240,49.973,110.495,2.086,33.715,2.342,0.7532,71.882,215.555,1,4
P0241,49.738,128.454,1.743,37.972,2.707,0.6286,50.406,185.047,1,3
P0242,49.993,120.841,0.926,30.871,1.994,0.5399,80.39,197.534,0,0
P0243,49.5,NaN,1.115,32.532,1.517,0.5582,72.187,206.479,0,0
P0244,50.096,121.444,1.56,30.964,1.72,0.5491,80.063,202.027,0,0
P0245,49.973,122.132,1.484,32.712,1.864,0.5394,67.353,200.614,0,0
P0246,49.853,122.378,1,46.898,4.8,0.6484,57.615,180.172,1,4
P0247,49.801,116.56,2.544,36.045,3.328,0.7411,73.533,190.978,1,2
P0248,50.126,118.866,1.097,31.873,1.826,0.5694,78.67,195.473,0,0
P0249,49.428,122.677,2.153,50.249,4.084,0.6523,68.759,196.81,1,4
P0250,49.789,122.432,1.586,35.248,2.035,0.6277,47.978,181.117,1,3
P0251,49.712,119.817,1.356,31.436,2.077,0.6108,77.892,184.481,0,0
P0252,49.983,119.043,1.357,33.89,1.498,0.537,75.642,212.641,0,0
P0253,49.662,122.696,1.525,42.072,1.786,0.5737,70.737,198.081,0,0
P0254,49.527,111.064,1.927,37.105,1.449,0.6992,51.957,186.922,1,1
P0255,49.658,119.878,2.607,43.162,3.83,0.6795,59.622,208.516,1,2
P0256,49.674,117.649,2.039,40.989,2.315,0.7132,45.43,195.539,1,3
P0257,50.941,123.148,2.03,42.081,1.826,0.5755,73.105,181.395,1,1
P0258,49.697,121.126,1.115,32.952,1.604,0.5483,72.456,201.178,0,0
P0259,49.921,119.98,1.085,32.488,1.664,0.5337,78.701,210.995,0,0
P0260,49.411,118.305,1.455,40.701,NaN,0.7182,56.588,202.869,1,1
P0261,49.96,118.243,1.647,32.784,1.626,0.5018,71.774,206.727,0,0
P0262,50.292,118.358,2.533,40.866,2.378,0.613,74.67,181.906,1,2
P0263,49.525,122.337,2.233,44.673,2.853,0.6,45.338,165.383,1,3
P0264,50.074,119.861,2.268,49.821,4.163,0.5045,70.921,209.204,1,4
P0265,50.296,124.149,2.214,42.446,3.537,0.6516,65.054,177.264,1,4
P0266,49.771,119.94,1.378,33.684,1.621,0.487,78.594,216.734,0,0
P0267,49.634,110.89,1.112,47.083,2.696,0.6076,70.425,177.767,1,1
P0268,49.911,119.904,1.51,31.059,1.656,0.4812,77.406,223.735,0,0
P0269,49.713,120.435,1.553,29.153,1.266,0.5824,76.099,201.611,0,0
P0270,49.967,119.182,0.944,28.911,NaN,0.4805,77.22,207.292,0,0
P0271,50.156,119.944,1.396,32.866,1.298,0.5176,71.684,209.272,0,0
P0272,50.376,123.42,2.378,39.485,1.723,0.5566,68.855,182.619,1,1
P0273,NaN,123.125,0.9,32.743,1.578,0.5101,78.758,197.12,0,0
P0274,49.933,130.1,1.947,36.338,3.08,0.6546,53.814,172.95,1,4
P0275,50.185,118.206,1.493,35.059,1.33,0.5305,72.965,205.778,0,0
P0276,50.022,118.079,0.801,32.143,1.735,0.5034,76.049,207.914,0,0
P0277,50.245,120.255,1.154,35.248,1.839,0.5243,NaN,199.444,0,0
P0278,49.756,116.386,2.629,36.419,2.253,0.7833,54.424,193.717,1,2
P0279,50.293,118.318,0.991,39.537,1.564,0.5069,70.984,199.372,0,0
P0280,49.897,120.346,1.338,NaN,0.898,0.5207,73.558,195.436,0,0
P0281,49.978,120.317,1.265,35.152,1.524,0.4702,NaN,208.346,0,0
P0282,49.78,121.782,1.999,40.189,2.108,0.5424,61,184.436,1,1
P0283,49.753,129.094,1.376,41.142,4.535,0.6606,64.379,199.638,1,4
P0284,50.394,113.284,2.178,39.351,3.285,0.5527,63.807,183.763,1,4
P0285,50.309,119.228,1.245,33.661,1.401,0.5178,73.068,208.395,0,0
P0286,50.14,122.027,1.302,38.923,1.202,0.5471,78.661,203.788,0,0
P0287,49.531,121.765,1.991,49.408,3.285,0.5125,48.715,174.325,1,4
P0288,50.075,119.789,1.234,35.439,1.208,0.5431,74.558,208.048,0,0
P0289,50.469,124.317,1.669,31.324,3.745,0.7344,45.254,190.187,1,3
P0290,50.114,117.926,1.089,29.711,1.406,0.5184,77.621,200.628,0,0
P0291,50.03,118.946,1.367,31.18,1.812,0.518,77.492,207.936,0,0
P0292,49.143,129.195,1.782,38.619,2.169,0.6483,65.221,202.834,1,1
P0293,49.906,112.768,1.88,45.212,2.972,0.5708,45.885,161.872,1,3
P0294,49.779,119.92,1.137,31.69,1.923,0.4958,68.02,208.026,0,0
P0295,50.086,117.822,1.099,35.194,2.307,0.5705,77.562,201.647,0,0
P0296,49.394,122.422,1.778,38.858,2.596,0.6354,66.692,189.324,1,1
P0297,49.491,114.776,1.272,32.114,1.646,0.5521,55.03,193.801,1,3
P0298,49.746,122.278,1.269,36.705,1.256,0.5237,75.045,208.309,0,0
P0299,49.577,119.438,1.178,NaN,1.338,0.5193,76.374,211.819,0,0
P0300,49.806,118.2,1.083,33.205,1.772,0.5683,77.218,213.376,0,0
P0301,50.011,120.759,NaN,31.479,1.432,0.4475,73.453,205.576,0,0
P0302,49.24,115.529,1.486,38.717,NaN,0.6179,57.206,147.075,1,3
P0303,50.126,125.789,1.026,34.668,1.183,0.513,79.416,202.669,0,0
P0304,49.956,119.165,1.095,33.873,1.789,0.4811,74.889,200.62,0,0
P0305,50.035,115.759,1.909,36.495,2.361,0.6282,50.846,198.967,1,3
P0306,50.291,116.69,1.492,44.726,5.82,0.6508,82.78,181.048,1,4
P0307,50.254,120.756,1.506,42.743,3.051,0.6488,61.442,192.944,1,4
P0308,50.222,122.953,2.216,53.635,3.356,0.6335,64.192,198.547,1,4
P0309,49.691,123.621,1.979,31.701,3.607,0.5573,62.163,177.63,1,4
P0310,49.477,119.128,2.391,28.875,3.745,0.7,64.995,195.632,1,2
P0311,50.536,124.265,2.067,45.254,3.584,0.693,65.137,195.356,1,4
P0312,49.508,111.836,2.334,41.184,2.087,0.6165,71.837,173.668,1,1
P0313,50.407,113.68,0.834,39.829,1.561,0.6897,70.275,186.546,1,1
P0314,50.234,121.027,1.08,33.387,1.887,0.4742,77.721,212.671,0,0
P0315,49.838,119.983,1.264,39.81,1.241,0.5379,69.549,188.721,0,0
P0316,49.781,115.264,1.344,33.895,1.506,0.4654,71.724,206.047,0,0
P0317,49.786,120.105,1.009,31.927,1.363,0.5127,75.545,202.863,0,0
P0318,50.02,120.241,1.433,46.245,3.937,0.5059,80.248,167.18,1,4
P0319,50.075,118.281,2.442,46.173,3.402,0.5568,42.015,182.724,1,4
P0320,49.214,124.879,2.158,44.554,3.081,0.5457,53.084,168.172,1,4
P0321,49.741,121.41,1.651,37.376,1.522,0.4828,70.072,206.699,0,0
P0322,49.784,116.786,2.985,46.483,1.039,0.3522,65.41,195.287,1,2
P0323,50.219,121.271,2.855,35.689,2.663,0.6606,75.597,196.059,1,2
P0324,50.108,119.376,1.3,32.231,1.257,0.5158,75.499,206.075,0,0
P0325,49.666,119.221,2.032,42.405,0.853,0.4607,58.098,135.337,1,3
P0326,50.264,119.452,1.868,49.04,3.43,0.7038,69.771,162.265,1,4
P0327,49.99,119.808,1.39,32.915,1.722,0.5268,78.257,196.816,0,0
P0328,49.835,119.318,1.259,35.261,2.043,0.5645,73.721,199.542,0,0
P0329,NaN,124.72,1.728,36.561,2.404,0.6665,66.68,169.2,1,1
P0330,49.882,120.582,1.309,36.447,1.477,0.5484,78.141,200.994,0,0
P0331,49.82,115.946,0.966,34.655,1.521,0.5303,71.872,205.926,0,0
P0332,50.32,121.991,0.948,32,1.49,0.5372,81.497,208.066,0,0
P0333,49.95,117.875,1.13,32.956,1.381,0.5236,79.906,203.361,0,0
P0334,50.05,126.419,1.925,36.354,3.205,0.4668,70.244,167.109,1,1
P0335,50.25,121.903,2.188,38.042,3.175,NaN,60.013,153.626,1,2
P0336,50.349,122.217,0.6,43.306,1.444,0.649,47.545,175.249,1,3
P0337,50.062,122.977,1.173,34.755,1.569,0.4718,77.389,200.605,0,0
P0338,50.098,123.074,1.37,33.111,1.244,0.5281,78.78,202.277,0,0
